topology,K,p,k,realization,baseSeed,runSeed,outputDir,status
complete,0.00,,,5,20260527,5691450446591449973,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.00/seed_0005,OK
complete,0.00,,,2,20260527,5691450446591449970,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.00/seed_0002,OK
complete,0.00,,,3,20260527,5691450446591449971,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.00/seed_0003,OK
complete,0.00,,,4,20260527,5691450446591449972,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.00/seed_0004,OK
complete,0.00,,,1,20260527,5691450446591449969,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.00/seed_0001,OK
complete,0.00,,,8,20260527,5691450446591449976,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.00/seed_0008,OK
complete,0.00,,,9,20260527,5691450446591449977,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.00/seed_0009,OK
complete,0.00,,,10,20260527,5691450446591449978,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.00/seed_0010,OK
complete,0.00,,,7,20260527,5691450446591449975,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.00/seed_0007,OK
complete,0.00,,,6,20260527,5691450446591449974,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.00/seed_0006,OK
complete,0.00,,,14,20260527,5691450446591449982,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.00/seed_0014,OK
complete,0.00,,,12,20260527,5691450446591449980,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.00/seed_0012,OK
complete,0.00,,,13,20260527,5691450446591449981,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.00/seed_0013,OK
complete,0.00,,,11,20260527,5691450446591449979,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.00/seed_0011,OK
complete,0.00,,,15,20260527,5691450446591449983,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.00/seed_0015,OK
complete,0.10,,,1,20260527,1041934191294161815,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.10/seed_0001,OK
complete,0.10,,,3,20260527,1041934191294161817,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.10/seed_0003,OK
complete,0.10,,,2,20260527,1041934191294161816,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.10/seed_0002,OK
complete,0.10,,,4,20260527,1041934191294161818,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.10/seed_0004,OK
complete,0.10,,,5,20260527,1041934191294161819,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.10/seed_0005,OK
complete,0.10,,,6,20260527,1041934191294161820,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.10/seed_0006,OK
complete,0.10,,,7,20260527,1041934191294161821,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.10/seed_0007,OK
complete,0.10,,,8,20260527,1041934191294161822,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.10/seed_0008,OK
complete,0.10,,,9,20260527,1041934191294161823,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.10/seed_0009,OK
complete,0.10,,,10,20260527,1041934191294161824,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.10/seed_0010,OK
complete,0.10,,,13,20260527,1041934191294161827,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.10/seed_0013,OK
complete,0.10,,,12,20260527,1041934191294161826,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.10/seed_0012,OK
complete,0.10,,,14,20260527,1041934191294161828,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.10/seed_0014,OK
complete,0.10,,,11,20260527,1041934191294161825,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.10/seed_0011,OK
complete,0.10,,,15,20260527,1041934191294161829,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.10/seed_0015,OK
complete,0.20,,,3,20260527,6081462174321746841,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.20/seed_0003,OK
complete,0.20,,,4,20260527,6081462174321746842,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.20/seed_0004,OK
complete,0.20,,,5,20260527,6081462174321746843,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.20/seed_0005,OK
complete,0.20,,,1,20260527,6081462174321746839,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.20/seed_0001,OK
complete,0.20,,,2,20260527,6081462174321746840,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.20/seed_0002,OK
complete,0.20,,,10,20260527,6081462174321746848,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.20/seed_0010,OK
complete,0.20,,,6,20260527,6081462174321746844,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.20/seed_0006,OK
complete,0.20,,,7,20260527,6081462174321746845,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.20/seed_0007,OK
complete,0.20,,,8,20260527,6081462174321746846,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.20/seed_0008,OK
complete,0.20,,,9,20260527,6081462174321746847,outputs/fhn-sweep-T500-dt005-observables/runs/complete/K_0.20/seed_0009,OK
