topology,K,p,k,realization,baseSeed,runSeed,outputDir,status
complete,0.00,,,1,20260607,5691450448881782049,outputs\fhn-sweep-T500-dt005-init05-observables\runs\complete\K_0.00\seed_0001,OK
complete,0.00,,,5,20260607,5691450448881782053,outputs\fhn-sweep-T500-dt005-init05-observables\runs\complete\K_0.00\seed_0005,OK
complete,0.00,,,3,20260607,5691450448881782051,outputs\fhn-sweep-T500-dt005-init05-observables\runs\complete\K_0.00\seed_0003,OK
complete,0.00,,,2,20260607,5691450448881782050,outputs\fhn-sweep-T500-dt005-init05-observables\runs\complete\K_0.00\seed_0002,OK
complete,0.00,,,4,20260607,5691450448881782052,outputs\fhn-sweep-T500-dt005-init05-observables\runs\complete\K_0.00\seed_0004,OK
complete,0.00,,,6,20260607,5691450448881782054,outputs\fhn-sweep-T500-dt005-init05-observables\runs\complete\K_0.00\seed_0006,OK
complete,0.00,,,7,20260607,5691450448881782055,outputs\fhn-sweep-T500-dt005-init05-observables\runs\complete\K_0.00\seed_0007,OK
complete,0.00,,,8,20260607,5691450448881782056,outputs\fhn-sweep-T500-dt005-init05-observables\runs\complete\K_0.00\seed_0008,OK
complete,0.00,,,9,20260607,5691450448881782057,outputs\fhn-sweep-T500-dt005-init05-observables\runs\complete\K_0.00\seed_0009,OK
complete,0.00,,,10,20260607,5691450448881782058,outputs\fhn-sweep-T500-dt005-init05-observables\runs\complete\K_0.00\seed_0010,OK
complete,0.00,,,11,20260607,5691450448881782059,outputs\fhn-sweep-T500-dt005-init05-observables\runs\complete\K_0.00\seed_0011,OK
complete,0.00,,,13,20260607,5691450448881782061,outputs\fhn-sweep-T500-dt005-init05-observables\runs\complete\K_0.00\seed_0013,OK
complete,0.00,,,12,20260607,5691450448881782060,outputs\fhn-sweep-T500-dt005-init05-observables\runs\complete\K_0.00\seed_0012,OK
complete,0.00,,,14,20260607,5691450448881782062,outputs\fhn-sweep-T500-dt005-init05-observables\runs\complete\K_0.00\seed_0014,OK
complete,0.00,,,15,20260607,5691450448881782063,outputs\fhn-sweep-T500-dt005-init05-observables\runs\complete\K_0.00\seed_0015,OK
complete,0.10,,,1,20260607,1041934193584493895,outputs\fhn-sweep-T500-dt005-init05-observables\runs\complete\K_0.10\seed_0001,OK
complete,0.10,,,2,20260607,1041934193584493896,outputs\fhn-sweep-T500-dt005-init05-observables\runs\complete\K_0.10\seed_0002,OK
complete,0.10,,,3,20260607,1041934193584493897,outputs\fhn-sweep-T500-dt005-init05-observables\runs\complete\K_0.10\seed_0003,OK
complete,0.10,,,4,20260607,1041934193584493898,outputs\fhn-sweep-T500-dt005-init05-observables\runs\complete\K_0.10\seed_0004,OK
complete,0.10,,,5,20260607,1041934193584493899,outputs\fhn-sweep-T500-dt005-init05-observables\runs\complete\K_0.10\seed_0005,OK
complete,0.10,,,6,20260607,1041934193584493900,outputs\fhn-sweep-T500-dt005-init05-observables\runs\complete\K_0.10\seed_0006,OK
complete,0.10,,,7,20260607,1041934193584493901,outputs\fhn-sweep-T500-dt005-init05-observables\runs\complete\K_0.10\seed_0007,OK
complete,0.10,,,8,20260607,1041934193584493902,outputs\fhn-sweep-T500-dt005-init05-observables\runs\complete\K_0.10\seed_0008,OK
complete,0.10,,,9,20260607,1041934193584493903,outputs\fhn-sweep-T500-dt005-init05-observables\runs\complete\K_0.10\seed_0009,OK
complete,0.10,,,10,20260607,1041934193584493904,outputs\fhn-sweep-T500-dt005-init05-observables\runs\complete\K_0.10\seed_0010,OK
complete,0.10,,,11,20260607,1041934193584493905,outputs\fhn-sweep-T500-dt005-init05-observables\runs\complete\K_0.10\seed_0011,OK
complete,0.10,,,12,20260607,1041934193584493906,outputs\fhn-sweep-T500-dt005-init05-observables\runs\complete\K_0.10\seed_0012,OK
complete,0.10,,,14,20260607,1041934193584493908,outputs\fhn-sweep-T500-dt005-init05-observables\runs\complete\K_0.10\seed_0014,OK
complete,0.10,,,13,20260607,1041934193584493907,outputs\fhn-sweep-T500-dt005-init05-observables\runs\complete\K_0.10\seed_0013,OK
complete,0.10,,,15,20260607,1041934193584493909,outputs\fhn-sweep-T500-dt005-init05-observables\runs\complete\K_0.10\seed_0015,OK
complete,0.20,,,5,20260607,6081462176612078923,outputs\fhn-sweep-T500-dt005-init05-observables\runs\complete\K_0.20\seed_0005,OK
complete,0.20,,,1,20260607,6081462176612078919,outputs\fhn-sweep-T500-dt005-init05-observables\runs\complete\K_0.20\seed_0001,OK
complete,0.20,,,3,20260607,6081462176612078921,outputs\fhn-sweep-T500-dt005-init05-observables\runs\complete\K_0.20\seed_0003,OK
complete,0.20,,,4,20260607,6081462176612078922,outputs\fhn-sweep-T500-dt005-init05-observables\runs\complete\K_0.20\seed_0004,OK
complete,0.20,,,2,20260607,6081462176612078920,outputs\fhn-sweep-T500-dt005-init05-observables\runs\complete\K_0.20\seed_0002,OK
complete,0.20,,,6,20260607,6081462176612078924,outputs\fhn-sweep-T500-dt005-init05-observables\runs\complete\K_0.20\seed_0006,OK
complete,0.20,,,7,20260607,6081462176612078925,outputs\fhn-sweep-T500-dt005-init05-observables\runs\complete\K_0.20\seed_0007,OK
complete,0.20,,,9,20260607,6081462176612078927,outputs\fhn-sweep-T500-dt005-init05-observables\runs\complete\K_0.20\seed_0009,OK
complete,0.20,,,8,20260607,6081462176612078926,outputs\fhn-sweep-T500-dt005-init05-observables\runs\complete\K_0.20\seed_0008,OK
complete,0.20,,,10,20260607,6081462176612078928,outputs\fhn-sweep-T500-dt005-init05-observables\runs\complete\K_0.20\seed_0010,OK
complete,0.20,,,11,20260607,6081462176612078929,outputs\fhn-sweep-T500-dt005-init05-observables\runs\complete\K_0.20\seed_0011,OK
complete,0.20,,,12,20260607,6081462176612078930,outputs\fhn-sweep-T500-dt005-init05-observables\runs\complete\K_0.20\seed_0012,OK
complete,0.20,,,14,20260607,6081462176612078932,outputs\fhn-sweep-T500-dt005-init05-observables\runs\complete\K_0.20\seed_0014,OK
complete,0.20,,,13,20260607,6081462176612078931,outputs\fhn-sweep-T500-dt005-init05-observables\runs\complete\K_0.20\seed_0013,OK
complete,0.20,,,15,20260607,6081462176612078933,outputs\fhn-sweep-T500-dt005-init05-observables\runs\complete\K_0.20\seed_0015,OK
complete,0.30,,,3,20260607,-5652216292539029232,outputs\fhn-sweep-T500-dt005-init05-observables\runs\complete\K_0.30\seed_0003,OK
complete,0.30,,,4,20260607,-5652216292539029231,outputs\fhn-sweep-T500-dt005-init05-observables\runs\complete\K_0.30\seed_0004,OK
complete,0.30,,,5,20260607,-5652216292539029230,outputs\fhn-sweep-T500-dt005-init05-observables\runs\complete\K_0.30\seed_0005,OK
