grupo,condicion_inicial,K,p,k,sigma0_mean,sigma0_std,sigma_tail_mean,sigma_tail_std,sync_runs,total_runs,tsync_mean,tsync_std,fuente
complete,U[-0.05;0.05] inferida,0,,,0.02894,0.00040,0.01807,0.00031,15,15,489.9,0.0,output/fhn-sweep-T500-dt005-observables
complete,U[-0.5;0.5],0,,,0.2842,0.0061,0.8650,0.032,0,15,,,output2
complete,U[-0.5;0.5],0.0001,,,0.2867,0.0063,0.006379,0.00030,15,15,486.9,0.35,outputs/fhn-sweep-smallK-T500-dt005-init05-observables
complete,U[-0.5;0.5],0.001,,,0.2897,0.0060,0.0,0.0,15,15,24.23,11.0,outputs/fhn-sweep-smallK-T500-dt005-init05-observables
complete,U[-0.5;0.5],0.01,,,0.2906,0.0056,0.0,0.0,15,15,16.91,0.38,outputs/fhn-sweep-smallK-T500-dt005-init05-observables
complete,U[-0.5;0.5],0.1,,,0.2889,0.0062,0.0,0.0,15,15,0.1,0.0,output2
random,U[-0.5;0.5],0.0001,0.1,,0.2897,0.0057,0.7878,0.041,0,15,,,outputs/fhn-sweep-smallK-T500-dt005-init05-observables
random,U[-0.5;0.5],0.001,0.1,,0.2893,0.0055,0.01887,0.0039,15,15,486.8,0.30,outputs/fhn-sweep-smallK-T500-dt005-init05-observables
random,U[-0.5;0.5],0.01,0.1,,0.2896,0.0053,0.0,0.0,15,15,40.43,0.044,outputs/fhn-sweep-smallK-T500-dt005-init05-observables
random,U[-0.5;0.5],0.1,0.1,,0.2907,0.0055,0.0,0.0,15,15,16.76,0.19,output2
random,U[-0.5;0.5],0.1,0.01,,0.2856,0.0068,0.09001,0.074,7,15,491.6,2.6,output2
random,U[-0.5;0.5],0.3,0.01,,0.2881,0.0054,0.03118,0.041,13,15,457.2,120.0,output2
ring,U[-0.5;0.5],0.001,,10,0.2896,0.0047,0.4716,0.037,0,15,,,outputs/fhn-sweep-smallK-T500-dt005-init05-observables
ring,U[-0.5;0.5],0.01,,10,0.2872,0.0058,0.03521,0.0084,9,15,490.5,1.1,outputs/fhn-sweep-smallK-T500-dt005-init05-observables
ring,U[-0.5;0.5],0.1,,10,0.2887,0.0050,0.005745,0.0033,15,15,489.4,0.21,output2
ring,U[-0.5;0.5],0.1,,1,0.2881,0.0063,0.4047,0.11,0,15,,,output2
ring,U[-0.5;0.5],0.5,,1,0.2871,0.0050,0.03424,0.0058,9,15,490.8,1.6,output2
